,cityName,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
180,poum,0,MK,1545863803,71,41.28,20.71,-15.38,0.82
181,ponta do sol,56,BR,1545863803,91,-20.63,-46.0,20.12,1.52
182,songea,36,TZ,1545863803,93,-10.68,35.65,16.95,0.47
183,yabrud,44,SY,1545861600,87,33.97,36.66,7.0,5.1
184,bucerias,75,MX,1545860520,78,20.76,-105.33,26.0,5.7
185,rybnoye,76,RU,1545863804,93,51.99,47.24,-4.73,3.32
186,laguna,5,MX,1545860820,28,27.52,-110.01,22.0,3.6
187,severnoye,92,RU,1545863805,87,54.09,52.54,-8.18,6.72
188,nemuro,0,JP,1545863805,100,43.32,145.57,-2.56,14.12
189,massakory,8,TD,1545863805,40,13.0,15.73,15.7,3.17
190,kapaa,40,US,1545861360,74,22.08,-159.32,26.1,4.1
191,rabaul,56,PG,1545863806,100,-4.2,152.17,27.2,2.57
192,mastic beach,75,US,1545861360,61,40.77,-72.85,3.9,1.5
193,sola,90,NO,1545862800,93,58.89,5.65,8.0,3.6
194,hithadhoo,0,MV,1545863806,100,-0.6,73.08,27.62,3.62
195,itoman,40,JP,1545861600,68,26.12,127.67,21.0,8.7
196,kahului,40,US,1545861360,65,20.89,-156.47,28.3,3.6
197,kharp,56,RU,1545863807,76,66.82,65.8,-19.58,4.57
198,zhigansk,64,RU,1545863807,73,66.77,123.37,-31.08,1.22
199,maudaha,36,IN,1545863808,45,25.68,80.11,12.47,2.22
200,kharhial,32,IN,1545863808,86,20.28,82.77,13.77,1.17
201,mahon,90,IE,1545861600,100,51.89,-8.4,9.0,2.6
202,new norfolk,0,AU,1545861600,45,-42.78,147.06,18.0,4.1
203,zhanaozen,88,KZ,1545863809,97,43.35,52.85,5.07,2.82
204,mundargi,92,IN,1545863809,75,15.22,75.9,22.57,1.97
205,ketchikan,90,US,1545861360,89,55.34,-131.65,5.6,10.8
206,airai,92,TL,1545863809,97,-8.93,125.41,20.62,0.37
207,darhan,0,MN,1545863810,61,49.49,105.92,-37.43,1.32
208,cabo san lucas,5,MX,1545860460,50,22.89,-109.91,24.0,3.1
209,namibe,32,AO,1545863672,100,-15.19,12.15,23.32,2.77
210,nabire,24,ID,1545863810,85,-3.36,135.5,24.87,0.52
211,the valley,20,AI,1545861600,73,18.22,-63.06,26.0,4.6
212,port macquarie,0,AU,1545861600,64,-31.43,152.91,24.0,4.6
213,alofi,0,NU,1545858000,66,-19.06,-169.92,30.0,5.7
214,high rock,20,BS,1545861600,78,26.63,-78.28,23.0,8.2
215,vardo,1,US,1545862500,53,39.62,-77.74,7.0,1.5
216,kindu,92,CD,1545863811,99,-2.95,25.92,20.77,1.12
217,port-gentil,40,GA,1545861600,88,-0.72,8.78,27.0,1.5
218,oussouye,32,SN,1545863812,85,12.49,-16.54,25.52,0.07
219,freeport,20,BS,1545861600,78,26.54,-78.7,23.0,8.2
220,mbengwi,12,CM,1545863812,59,6.0,10.01,14.72,0.87
221,egvekinot,68,RU,1545863813,75,66.32,-179.17,-27.83,1.07
222,maues,56,BR,1545863813,86,-3.38,-57.72,26.27,1.67
223,madruga,75,CU,1545861300,83,22.91,-81.86,25.0,5.1
224,yaan,0,NG,1545863813,54,7.38,8.57,20.22,2.27
225,varhaug,90,NO,1545861000,93,58.61,5.65,8.0,2.6
226,soyo,88,AO,1545863814,90,-6.13,12.37,25.45,1.52
227,san cristobal,75,EC,1545861600,46,-0.39,-78.55,21.0,4.1
228,ketou,8,BJ,1545863814,67,7.36,2.6,24.2,1.32
229,grand gaube,20,MU,1545861600,88,-20.01,57.66,24.0,3.1
230,outlook,80,CA,1545863815,86,51.48,-107.04,-8.43,0.87
231,sarakhs,0,TM,1545861600,49,36.54,61.16,9.0,2.1
232,malanje,76,AO,1545863669,98,-9.54,16.35,18.72,1.57
233,neftcala,8,AZ,1545863816,100,39.37,49.25,7.47,6.82
234,karratha,0,AU,1545863816,34,-20.74,116.85,32.2,3.92
235,suez,0,EG,1545863816,79,29.97,32.54,8.6,3.42
236,butaritari,80,KI,1545863817,100,3.07,172.79,26.77,7.47
237,harrisonburg,1,US,1545862500,73,38.45,-78.87,6.7,1.02
238,yima,88,CN,1545863817,72,34.75,111.87,-5.38,3.32
239,santa pola,40,ES,1545861600,93,38.19,-0.56,10.0,1.5
240,viseu,40,PT,1545861600,93,40.66,-7.91,10.0,1.0
241,cap malheureux,20,MU,1545861600,88,-19.98,57.61,24.0,3.1
242,faanui,68,PF,1545863818,100,-16.48,-151.75,28.1,5.92
243,torbay,75,CA,1545861600,58,47.66,-52.73,-4.0,7.7
244,quelimane,40,MZ,1545858000,83,-17.88,36.89,28.0,4.1
245,deder,0,ET,1545863819,73,9.31,41.44,7.55,1.02
246,rincon,1,US,1545862500,43,32.3,-81.24,15.3,1.5
247,rumonge,0,BI,1545863820,100,-3.97,29.44,21.57,1.62
248,lata,8,IN,1545863823,83,30.78,78.62,-4.53,1.07
249,bathsheba,20,BB,1545861600,74,13.22,-59.52,26.0,6.7
250,meshcherino,75,RU,1545861600,85,55.2,38.36,-8.0,2.0
251,werda,64,DE,1545862800,93,50.44,12.3,5.0,3.1
252,dikson,80,RU,1545863824,98,73.51,80.55,-12.43,12.62
253,fairbanks,75,US,1545861480,79,64.84,-147.72,-17.2,1.97
254,katsuura,75,JP,1545861600,91,33.93,134.5,9.0,5.7
255,minsk,75,BY,1545861900,88,53.9,27.56,0.0,8.0
256,silifke,92,TR,1545863825,100,36.38,33.93,4.8,1.72
257,ambon,32,FR,1545861600,100,47.55,-2.56,4.0,1.0
258,mutsu,75,JP,1545861600,79,41.29,141.2,-5.0,6.7
259,mugumu,0,TZ,1545863826,64,-1.84,34.67,16.6,2.62
260,zunyi,92,CN,1545863826,98,27.73,106.92,0.8,3.22
261,biltine,0,TD,1545863826,61,14.53,20.93,16.32,1.67
262,grindavik,40,IS,1545861600,86,63.84,-22.43,4.0,6.7
263,rodrigues alves,20,BR,1545861600,66,-7.74,-72.65,30.0,1.0
264,walvis bay,68,NA,1545861600,88,-22.95,14.51,17.0,1.0
265,boralday,90,KZ,1545861600,92,43.36,76.86,-8.0,1.0
266,aljezur,8,PT,1545863828,100,37.31,-8.8,14.17,3.77
267,henties bay,92,NA,1545863828,97,-22.12,14.28,17.72,2.42
268,bocas del toro,36,PA,1545863828,100,9.33,-82.25,25.47,3.42
